Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
"Auckland, North Shore Albany Ews",01/01/2014 22,6.3,24,D
"Auckland, North Shore Albany Ews",02/01/2014 22,11.8,24,D
"Auckland, North Shore Albany Ews",03/01/2014 22,9.9,24,D
"Auckland, North Shore Albany Ews",04/01/2014 22,8.2,24,D
"Auckland, North Shore Albany Ews",05/01/2014 22,3.1,24,D
"Auckland, North Shore Albany Ews",06/01/2014 22,13.1,24,D
"Auckland, North Shore Albany Ews",07/01/2014 22,12.1,24,D
"Auckland, North Shore Albany Ews",08/01/2014 22,9.7,24,D
"Auckland, North Shore Albany Ews",09/01/2014 22,9.9,24,D
"Auckland, North Shore Albany Ews",10/01/2014 22,11.1,24,D
"Auckland, North Shore Albany Ews",11/01/2014 22,6.2,24,D
"Auckland, North Shore Albany Ews",12/01/2014 22,5.2,24,D
"Auckland, North Shore Albany Ews",13/01/2014 22,8.4,24,D
"Auckland, North Shore Albany Ews",14/01/2014 22,8.2,24,D
"Auckland, North Shore Albany Ews",15/01/2014 22,10.3,24,D
"Auckland, North Shore Albany Ews",16/01/2014 22,0.7,24,D
"Auckland, North Shore Albany Ews",17/01/2014 22,8.4,24,D
"Auckland, North Shore Albany Ews",18/01/2014 22,11.6,24,D
"Auckland, North Shore Albany Ews",19/01/2014 22,10.1,24,D
"Auckland, North Shore Albany Ews",20/01/2014 22,2.3,24,D
"Auckland, North Shore Albany Ews",21/01/2014 22,2.4,24,D
"Auckland, North Shore Albany Ews",22/01/2014 22,6.2,24,D
"Auckland, North Shore Albany Ews",23/01/2014 22,10.2,24,D
"Auckland, North Shore Albany Ews",24/01/2014 22,8.7,24,D
"Auckland, North Shore Albany Ews",25/01/2014 22,12.9,24,D
"Auckland, North Shore Albany Ews",26/01/2014 22,0.6,24,D
"Auckland, North Shore Albany Ews",27/01/2014 22,11.2,24,D
"Auckland, North Shore Albany Ews",28/01/2014 22,12.7,24,D
"Auckland, North Shore Albany Ews",29/01/2014 22,12.6,24,D
"Auckland, North Shore Albany Ews",30/01/2014 22,9.2,24,D
"Auckland, North Shore Albany Ews",31/01/2014 22,10.5,24,D
"Auckland, North Shore Albany Ews",01/02/2014 22,11.9,24,D
"Auckland, North Shore Albany Ews",02/02/2014 22,11.8,24,D
"Auckland, North Shore Albany Ews",03/02/2014 22,11.6,24,D
"Auckland, North Shore Albany Ews",04/02/2014 22,3.8,24,D
"Auckland, North Shore Albany Ews",05/02/2014 22,2.5,24,D
"Auckland, North Shore Albany Ews",06/02/2014 22,4.3,24,D
"Auckland, North Shore Albany Ews",07/02/2014 22,0,24,D
"Auckland, North Shore Albany Ews",08/02/2014 22,9.8,24,D
"Auckland, North Shore Albany Ews",09/02/2014 22,9.1,24,D
"Auckland, North Shore Albany Ews",10/02/2014 22,9.7,24,D
