Country,2013,2012,2000
Afghanistan,8.1,8.5,
Albania,5.9,5.6,6.3
Algeria,6.6,6,3.5
Andorra,8.1,8.3,6
Angola,3.8,3.5,3.4
Antigua and Barbuda,4.9,5.4,4.2
Argentina,7.3,6.8,7.6
Armenia,4.5,4.5,6.3
Australia,9.4,9.4,8.1
Austria,11,11.1,10
Azerbaijan,5.6,5.4,4.7
Bahamas,7.3,7.3,5.2
Bahrain,4.9,4.4,3.5
Bangladesh,3.7,3.5,2.6
Barbados,6.8,6.8,5.2
Belarus,6.1,5,6.1
Belgium,11.2,10.9,8.1
Belize,5.4,5.3,4
Benin,4.6,5,4.3
Bhutan,3.6,3.6,6.7
Bolivia (Plurinational State of),6.1,5.8,6.1
Bosnia and Herzegovina,9.6,10.1,7.1
Botswana,5.4,5.5,4.7
Brazil,9.7,9.5,7.2
Brunei Darussalam,2.5,2.3,3
Bulgaria,7.6,7.4,6.2
Burkina Faso,6.4,6.1,5.1
Burundi,8,8.2,6.3
Cote d'Ivoire,5.7,6.5,6.2
Cabo Verde,4.4,4.6,4.8
Cambodia,7.5,7.3,5.8
Cameroon,5.1,5,4.4
Canada,10.9,10.9,8.7
Central African Republic,3.9,3.8,4.3
Chad,3.6,3.6,6.3
Chile,7.7,7.3,7.2
China,5.6,5.4,4.6
Colombia,6.8,6.8,5.9
Comoros,5.8,6.5,3.5
Congo,4.1,4,2.1
Cook Islands,3.1,3.3,3.4
Costa Rica,9.9,10.1,7.1
Croatia,7.3,7.3,7.8
Cuba,8.8,8.6,6.1
Cyprus,7.4,7.4,5.8
Czech Republic,7.2,7.5,6.3
Democratic Republic of the Congo,3.5,3.6,1.4
Denmark,10.6,11,8.7
Djibouti,8.9,8.8,5.8
Dominica,6,5.8,4.8
Dominican Republic,5.4,5.4,6.3
Ecuador,7.5,6.7,3.6
Egypt,5.1,4.9,5.4
El Salvador,6.9,6.7,8
Equatorial Guinea,3.5,3.4,2.7
Eritrea,3,3,4.1
Estonia,5.7,5.9,5.3
Ethiopia,5.1,4.9,4.4
Fiji,4.1,4,3.9
Finland,9.4,9.1,7.2
France,11.7,11.6,10.1
Gabon,3.8,3.7,2.9
Gambia,6,6.2,3.6
Georgia,9.4,9.2,6.9
Germany,11.3,11.3,10.4
Ghana,5.4,5.2,3
Greece,9.8,9.3,7.9
Grenada,6.3,6.2,6.6
Guatemala,6.4,6.4,5.4
Guinea,4.7,4.5,3.5
Guinea-Bissau,5.5,6.2,4.9
Guyana,6.5,6.6,5.8
Haiti,9.4,9.6,6.1
Honduras,8.7,9.5,6.6
Hungary,8,8,7.2
Iceland,9.1,9,9.5
India,4,3.8,4.3
Indonesia,3.1,3,2
Iran (Islamic Republic of),6.7,6.6,4.6
Iraq,5.2,4.8,0.8
Ireland,8.9,8.9,6.2
Israel,7.2,7.4,7.1
Italy,9.1,9.2,7.9
Jamaica,5.9,5.7,5.5
Japan,10.3,10.3,7.6
Jordan,7.2,8,9.7
Kazakhstan,4.3,4.3,4.2
Kenya,4.5,4.5,4.7
Kiribati,10.1,10.2,8
Kuwait,2.9,2.6,2.5
Kyrgyzstan,6.7,7,4.7
Lao People's Democratic Republic,2,1.9,3.3
Latvia,5.7,5.9,6
Lebanon,7.2,7.5,10.9
Lesotho,11.5,12.1,6.9
Liberia,10,9.4,5.9
Libya,4.3,4.3,3.4
Lithuania,6.2,6.7,6.5
Luxembourg,7.1,7.2,7.5
Madagascar,4.2,3.3,5
Malawi,8.3,9.2,6.1
Malaysia,4,4,3
Maldives,10.8,11.4,7.1
Mali,7.1,5.8,6.3
Malta,8.7,8.7,6.6
Marshall Islands,16.5,15.6,22.5
Mauritania,3.8,3.8,5.2
Mauritius,4.8,4.8,3.8
Mexico,6.2,6.1,5.1
Micronesia (Federated States of),12.6,12.8,7.8
Monaco,4,4.3,3.3
Mongolia,6,6.3,4.7
Montenegro,6.5,7.2,7.3
Morocco,6,6.1,4.2
Mozambique,6.8,5.8,6.2
Myanmar,1.8,1.8,2.1
Namibia,7.7,8,6.1
Nauru,6.3,7,13.3
Nepal,6,5.5,5.4
